Component,Model,Vendor & Link,Price (Php),Compatibility Notes,Release Date (not sure if all should be 2024-2025)
CPU,AMD Ryzen 5 5500,https://pcx.com.ph/products/amd-ryzen-5-5500gt-desktop-processor-3-6-up-to-4-4ghz?_pos=1&_sid=01f1a1411&_ss=r,"6,650.00",,
CPU Cooler,Cooler Master Hyper 212 Spectrum V3 71.93 CFM,https://pcx.com.ph/products/cooler-master-hyper-212-spectrum-v3-rgb-cpu-cooler-fan?_pos=1&_sid=15f0aa614&_ss=r,1300,,
Motherboard,Gigabyte B550M AORUS ELITE AX Micro ATX AM4 ,https://dynaquestpc.com/products/gigabyte-b550m-aorus-elite-am4-motherboard,"7,180.00",,
RAM,G.Skill Ripjaws V 16 GB (2 x 8 GB) DDR4-3600 CL16 Memory,https://pcx.com.ph/collections/g-skill/products/gskills-16gb-2x-8gb-ddr4-3200mhz-ripjaws-v-f4-3200c16d-16gvkb-desktop-memory,"3,000.00",,
Storage 1 (SSD),KINGSTON 500GB NV3 M.2 PCIe NVMe Solid State Drive,https://pcx.com.ph/products/kingston-500gb-nv3-m-2-pcie-nvme-solid-state-drive?_pos=2&_sid=3ab3b2bd7&_ss=r,"2,250",,
Storage 2 (HDD),----,----,----,,
Graphics Card,INNO3D GeForce RTX™ 3050 TWIN X2 OC V2 8GB GDDR6 128-bit Graphics Card,https://pcx.com.ph/products/inno3d-geforce-rtx-3050-twin-x2-oc-v2-8gb-gddr6-128-bit-graphics-card?_pos=7&_sid=7950c4cb9&_ss=r,12450,,
Power Supply,COOLER MASTER MWE V3 650W 80+ Bronze Non-Modular Power Supply,https://pcx.com.ph/products/cooler-master-mwe-v3-650w-80-bronze-non-modular-power-supply?_pos=1&_sid=f4c5ff5af&_ss=r,3750,,
Case,Antec CX200M RGB ELITE MicroATX Mini Tower Case,https://pcx.com.ph/products/antec-cx200m-rgb-elite-dual-chamber-mini-tower-gaming-case-black?_pos=1&_sid=5a1b62003&_ss=r,2850,,
Case Fans,----,----,----,,
TOTAL,,,"39,430.00",,
Budget Limit (Php),,,40000,This value can be change based on your assigned budget,
Within Budget?,,,✅ YES,,
,,,,,
PPCPartPicker Link:,https://pcpartpicker.com/list/Qd8GQd,,,,